parcelid,address,muni,lat,lon,tract
0033F00252000000,325 ALICE ST PITTSBURGH PA 15210,30TH WARD - PITTSBURGH,40.410423041755266,-79.994523750093947,300100
0033E00019000000,4 CAMFIELD ST PITTSBURGH PA 15210,18TH WARD - PITTSBURGH,40.411033245688451,-79.997322027411926,562400
0033D00231000000,0 ORMSBY AVE PITTSBURGH PA 15210,MT. OLIVER,40.412481287837792,-79.983477114828048,481000
0033B00105000000,214 MATHEWS AVE PITTSBURGH PA 15210,30TH WARD - PITTSBURGH,40.413205108087041,-79.991586230792194,300100
0033A00297000000,420 ARABELLA ST PITTSBURGH PA 15210,30TH WARD - PITTSBURGH,40.412552291662266,-79.995978035732278,300100
0032E00063000000,415 WALDE ST PITTSBURGH PA 15210,16TH WARD - PITTSBURGH,40.410700659562714,-79.980744236454100,161000
0030E00014000000,3101 MISSION ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.420980159716862,-79.965553651028401,160800
0030A00190000000,3016 1/2 HARCUM WAY PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.422699196964331,-79.964858475963680,160800
0029C00049000000,0 FRAZIER ST PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.431083426763287,-79.956400732393533,040900
0029C00048000A00,3516 FRAZIER ST PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.431044532443522,-79.956351640478843,040900
0028L00046000A00,382 MCKEE PL PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.436395420502549,-79.955840994591966,040500
0028G00225000000,"309 ATWOOD ST, PITTSBURGH, PA 15213",4th Ward - PITTSBURGH,40.439517130292785,-79.955352108655418,040500
0027H00117050200,220 N DITHRIDGE ST PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.449873504090576,-79.952022874613306,562000
0027H00074060400,146 N BELLEFIELD AVE PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.447859254081010,-79.952139935252518,040400
0027H00047080400,220 N BELLEFIELD AVE PITTSBURGH PA 15213,4TH WARD - PITTSBURGH,40.448989712462769,-79.952657480175930,562000
